esame,day,hoursStart,hoursEnd
programmazione per la musica,0,2,3
verifica e convalida del software,0,2,3
modelli dei dati e dbms di nuova generazione,0,3,4
programmazione timbrica,0,4,5
analisi di dati su larga scala,0,6,7
metodi formali,0,6,7
teoria dei grafi,0,8,9
programmazione avanzata,0,3,4
complementi di ricerca operativa,1,0,1
organizzazione e digitalizzazione di teche multimediali,1,0,1
tecniche speciali di programmazione,1,0,2
logica matematica,1,2,3
game and level design,1,2,3
algoritmica per il web,1,5,6
geometria computazionale,1,5,6
programmazione avanzata,1,3,4
architetture e programmazione dsp,2,0,3
complementi di ricerca operativa,2,0,1
organizzazione e digitalizzazione di teche multimediali,2,0,1
logica matematica,2,2,3
modelli dei dati e dbms di nuova generazione,2,2,3
modelli di computazione affettiva,2,2,3
progetto di sistemi a sensore,2,3,4
crittografia avanzata,2,5,8
analisi di dati su larga scala,2,6,7
cittadinanza digitale e tecnocivismo,2,6,9
programmazione per la musica,2,8,9
sistemi intelligenti,2,0,1
sviluppo software in gruppo di lavoro complessi,2,6,7
interazione naturale,2,7,8
game and level design,3,1,3
gestione dell'informazione geospaziale,3,2,3
modelli di computazione affettiva,3,2,3
algoritmica per il web,3,5,6
metodi e modelli per le decisioni,3,5,6
sicurezza informatica,3,5,6
sviluppo software in gruppo di lavoro complessi,3,0,1
interazione naturale,3,7,8
metodi formali,4,1,2
geometria computazionale,4,2,3
progetto di sistemi a sensore,4,3,4
gestione dell'informazione geospaziale,4,5,7
metodi e modelli per le decisioni,4,7,8
verifica e convalida del software,4,7,8
programmazione timbrica,4,8,9
sicurezza informatica,4,8,9
teoria dei grafi,4,8,9
sistemi intelligenti,4,0,1

































complementi di ricerca operativa,

