num,esame
0,programmazione per la musica
1,verifica e convalida del software
2,modelli dei dati e dbms di nuova generazione
3,programmazione timbrica
4,analisi di dati su larga scala
5,metodi formali
6,teoria dei grafi
7,programmazione avanzata
8,complementi di ricerca operativa
9,organizzazione e digitalizzazione di teche multimediali
10,tecniche speciali di programmazione
11,logica matematica
12,game and level design
13,algoritmica per il web
14,geometria computazionale
15,architetture e programmazione dsp
16,modelli di computazione affettiva
17,progetto di sistemi a sensore
18,crittografia avanzata
19,cittadinanza digitale e tecnocivismo
20,sistemi intelligenti
21,sviluppo software in gruppo di lavoro complessi
22,interazione naturale
23,gestione dell'informazione geospaziale
24,metodi e modelli per le decisioni
25,sicurezza informatica




